Location,Unit,Disturbance,Transect,Plot,OAKcount
Crawford Notch State Park,NA,C,1,35,0
Crawford Notch State Park,NA,C,1,45,0
Crawford Notch State Park,NA,C,1,5,0
Crawford Notch State Park,NA,C,1,55,0
Crawford Notch State Park,NA,C,1,65,0
Crawford Notch State Park,NA,C,1,75,0
Crawford Notch State Park,NA,C,1,85,0
Crawford Notch State Park,NA,C,1,95,0
Crawford Notch State Park,NA,C,2,15,0
Crawford Notch State Park,NA,C,2,25,0
Crawford Notch State Park,NA,C,2,35,3
Crawford Notch State Park,NA,C,2,45,0
Crawford Notch State Park,NA,C,2,5,0
Crawford Notch State Park,NA,C,2,55,7
Crawford Notch State Park,NA,C,2,65,0
Crawford Notch State Park,NA,C,2,75,0
Crawford Notch State Park,NA,C,2,85,0
Hogsback (Blueberry Mountain),20/2,B,1,15,18
Hogsback (Blueberry Mountain),20/2,B,1,25,9
Hogsback (Blueberry Mountain),20/2,B,1,35,43
Hogsback (Blueberry Mountain),20/2,B,1,45,36
Hogsback (Blueberry Mountain),20/2,B,1,5,14
Hogsback (Blueberry Mountain),20/2,B,1,55,11
Hogsback (Blueberry Mountain),20/2,B,1,65,15
Hogsback (Blueberry Mountain),20/2,B,1,75,11
Hogsback (Blueberry Mountain),20/2,B,1,85,7
Hogsback (Blueberry Mountain),20/2,B,1,95,4
Hogsback (Blueberry Mountain),20/2,B,2,15,73
Hogsback (Blueberry Mountain),20/2,B,2,25,66
Hogsback (Blueberry Mountain),20/2,B,2,35,22
Hogsback (Blueberry Mountain),20/2,B,2,45,0
Hogsback (Blueberry Mountain),20/2,B,2,5,20
Hogsback (Blueberry Mountain),20/2,B,3,15,4
Hogsback (Blueberry Mountain),20/2,B,3,25,6
Hogsback (Blueberry Mountain),20/2,B,3,35,6
Hogsback (Blueberry Mountain),20/2,B,3,45,3
Hogsback (Blueberry Mountain),20/2,B,3,5,6
Hogsback (Blueberry Mountain),20/2,B,4,15,23
Hogsback (Blueberry Mountain),20/2,B,4,25,2
Hogsback (Blueberry Mountain),20/2,B,4,35,2
Hogsback (Blueberry Mountain),20/2,B,4,45,12
Hogsback (Blueberry Mountain),20/2,B,4,5,21
Hogsback (Blueberry Mountain),20/2,B,4,55,9
Hogsback (Blueberry Mountain),20/2,B,4,65,2
Hogsback (Blueberry Mountain),20/2,B,4,75,4
Hogsback (Blueberry Mountain),20/2,B,3,55,8
Hogsback (Blueberry Mountain),20/2,B,3,65,0
Hogsback (Blueberry Mountain),20/2,B,3,75,5
Hogsback (Blueberry Mountain),28/2,B,1,15,13
Hogsback (Blueberry Mountain),28/2,B,1,25,35
Hogsback (Blueberry Mountain),28/2,B,1,35,12
Hogsback (Blueberry Mountain),28/2,B,1,45,135
Hogsback (Blueberry Mountain),28/2,B,1,5,20
Hogsback (Blueberry Mountain),28/2,B,1,55,65
Hogsback (Blueberry Mountain),28/2,B,1,65,46
Hogsback (Blueberry Mountain),28/2,B,1,75,16
Hogsback (Blueberry Mountain),28/2,B,1,85,2
Hogsback (Blueberry Mountain),28/2,B,1,95,1
Hogsback (Blueberry Mountain),28/2,B,2,15,29
Hogsback (Blueberry Mountain),28/2,B,2,25,8
Hogsback (Blueberry Mountain),28/2,B,2,35,6
Hogsback (Blueberry Mountain),28/2,B,2,45,17
Hogsback (Blueberry Mountain),28/2,B,2,5,14
Hogsback (Blueberry Mountain),12/2,C,1,15,0
Hogsback (Blueberry Mountain),12/2,C,1,25,16
Hogsback (Blueberry Mountain),12/2,C,1,35,8
Hogsback (Blueberry Mountain),12/2,C,1,45,0
Hogsback (Blueberry Mountain),12/2,C,1,5,27
Hogsback (Blueberry Mountain),12/2,C,2,15,11
Hogsback (Blueberry Mountain),12/2,C,2,25,4
Hogsback (Blueberry Mountain),12/2,C,2,35,8
Hogsback (Blueberry Mountain),12/2,C,2,45,8
Hogsback (Blueberry Mountain),12/2,C,2,5,28
Hogsback (Blueberry Mountain),28/2,B,2,55,30
Hogsback (Blueberry Mountain),28/2,B,2,65,16
Hogsback (Blueberry Mountain),28/2,B,2,75,23
Hogsback (Blueberry Mountain),28/2,B,2,85,51
Hogsback (Blueberry Mountain),28/2,B,2,95,28
Hogsback (Blueberry Mountain),12/2,C,3,15,3
Hogsback (Blueberry Mountain),12/2,C,3,25,12
Hogsback (Blueberry Mountain),12/2,C,3,35,32
Hogsback (Blueberry Mountain),12/2,C,3,45,20
Hogsback (Blueberry Mountain),12/2,C,3,5,4
Hogsback (Blueberry Mountain),12/2,C,4,15,1
Hogsback (Blueberry Mountain),12/2,C,4,25,16
