Location,Unit,Disturbance,Transect,Plot,Spcode,Count
HOG,20/2,B,1,85,BEAL,1
HOG,20/2,B,1,95,BEAL,1
HOG,20/2,B,1,95,RUS,7
HOG,20/2,B,1,95,KRBI,1
HOG,20/2,B,1,95,POTR,2
HOG,20/2,B,1,95,MARA,1
HOG,20/2,B,1,95,ARNU,20
HOG,20/2,B,1,95,ACRU,1
HOG,20/2,B,1,95,FRAM,1
HOG,20/2,B,2,5,DEPU,5
HOG,20/2,B,2,5,ACRU,2
HOG,20/2,B,2,5,BEAL,10
HOG,20/2,B,2,5,RUS,5
HOG,20/2,B,2,15,FAGR,1
HOG,20/2,B,2,15,RUS,1
HOG,20/2,B,2,15,ARNU,1
HOG,20/2,B,2,15,BEAL,1
HOG,20/2,B,2,15,MACA,4
HOG,20/2,B,2,25,DIDI,20
HOG,20/2,B,2,25,FAGR,3
HOG,20/2,B,2,25,ACRU,6
HOG,20/2,B,2,25,MACA,13
HOG,20/2,B,2,25,ARNU,2
HOG,20/2,B,2,25,BEAL,2
HOG,20/2,B,2,25,RUS,1
HOG,20/2,B,2,35,ACRU,7
HOG,20/2,B,2,35,FAGR,2
HOG,20/2,B,2,35,RUS,7
HOG,20/2,B,2,35,COS,1
HOG,20/2,B,2,35,CAR,1
HOG,20/2,B,2,45,DEPU,2
HOG,20/2,B,2,45,RUS,6
HOG,20/2,B,2,45,ARNU,1
HOG,20/2,B,3,5,FAGR,1
HOG,20/2,B,3,5,ACRU,1
HOG,20/2,B,3,5,UVSE,11
HOG,20/2,B,3,5,RUS,1
HOG,20/2,B,3,5,ARNU,2
HOG,20/2,B,3,5,TRBO,4
HOG,20/2,B,3,15,RUS,7
HOG,20/2,B,3,15,FAGR,1
HOG,20/2,B,3,15,ACRU,5
HOG,20/2,B,3,15,ARNU,1
HOG,20/2,B,3,15,PRPE,1
HOG,20/2,B,3,25,RUS,12
HOG,20/2,B,3,25,FAGR,1
HOG,20/2,B,3,25,CAR,4
HOG,20/2,B,3,35,FAGR,3
HOG,20/2,B,3,35,ACPE,1
HOG,20/2,B,3,35,ACRU,1
HOG,20/2,B,3,35,CAR,1
HOG,20/2,B,3,45,RUS,3
HOG,20/2,B,3,45,MACA,3
HOG,20/2,B,3,45,ARNU,2
HOG,20/2,B,3,45,CAR,2
HOG,20/2,B,3,45,TRBO,2
HOG,20/2,B,3,45,BEAL,1
HOG,20/2,B,4,5,DEPU,12
HOG,20/2,B,4,5,RUS,11
HOG,20/2,B,4,5,FAGR,1
HOG,20/2,B,4,5,ACRU,2
HOG,20/2,B,4,15,BEAL,2
HOG,20/2,B,4,15,ACRU,1
HOG,20/2,B,4,15,RUS,2
HOG,20/2,B,4,25,DEPU,20
HOG,20/2,B,4,25,RUS,5
HOG,20/2,B,4,25,FAGR,1
HOG,20/2,B,4,35,DEPU,20
HOG,20/2,B,4,35,RUS,7
HOG,20/2,B,4,35,ARNU,1
HOG,20/2,B,4,45,RUS,4
HOG,20/2,B,4,45,TRBO,2
HOG,20/2,B,4,45,ARNU,1
HOG,20/2,B,4,55,BEAL,2
HOG,20/2,B,4,55,FAGR,9
HOG,20/2,B,4,55,RUS,8
HOG,20/2,B,4,55,DEPU,5
HOG,20/2,B,4,55,ACRU,1
HOG,20/2,B,4,55,POTR,2
HOG,20/2,B,4,65,BEAL,1
HOG,20/2,B,4,65,FAGR,2
HOG,20/2,B,4,65,RUS,12
HOG,20/2,B,4,65,CAR,4
HOG,20/2,B,4,75,RUS,11
HOG,20/2,B,4,75,BEAL,3
HOG,20/2,B,4,75,MIRE,6
HOG,20/2,B,4,75,ACRU,2
HOG,20/2,B,4,75,TRBO,2
HOG,20/2,B,3,55,TRBO,2
HOG,20/2,B,3,55,RUS,7
HOG,20/2,B,3,55,ACPE,8
HOG,20/2,B,3,55,ACRU,2
HOG,20/2,B,3,55,CAR,3
HOG,20/2,B,3,65,FAGR,6
HOG,20/3,B,3,65,TRBO,8
HOG,20/4,B,3,65,DEPU,7
HOG,20/5,B,3,65,RUS,9
HOG,20/2,B,3,75,ACRU,2
HOG,20/3,B,3,75,BEAL,3
HOG,20/4,B,3,75,RUS,20
HOG,20/5,B,3,75,PRPE,2
HOG,20/6,B,3,75,TRBO,2
HOG,28/2,B,1,5,DIDI,20
HOG,28/2,B,1,5,TRBO,20
HOG,28/2,B,1,5,RUS,11
HOG,28/2,B,1,5,CAR,1
HOG,28/2,B,1,5,ACPE,5
HOG,28/2,B,1,5,BEAL,2
HOG,28/2,B,1,15,VIAC,1
HOG,28/2,B,1,15,RUS,8
HOG,28/2,B,1,15,VAAN,20
HOG,28/2,B,1,25,FAGR,1
HOG,28/2,B,1,25,RUS,13
HOG,28/2,B,1,25,MACA,20
HOG,28/2,B,1,25,UVSE,4
HOG,28/2,B,1,35,ACRU,2
HOG,28/2,B,1,35,MEVI,2
HOG,28/2,B,1,35,MACA,11
HOG,28/2,B,1,35,BEAL,1
HOG,28/2,B,1,35,RUS,20
HOG,28/2,B,1,45,RUS,1
HOG,28/2,B,1,45,FAGR,2
HOG,28/2,B,1,55,FAGR,3
HOG,28/2,B,1,55,BEAL,4
HOG,28/2,B,1,65,RUS,3
HOG,28/2,B,1,65,BEAL,2
HOG,28/2,B,1,75,FAGR,1
HOG,28/2,B,1,75,CAR,3
HOG,28/2,B,1,75,POCO,20
HOG,28/2,B,1,85,BEAL,7
HOG,28/2,B,1,85,TRBO,4
HOG,28/2,B,1,85,FAGR,1
HOG,28/2,B,1,85,POCO,20
HOG,28/2,B,1,85,RUS,14
HOG,28/2,B,1,95,BEAL,2
HOG,28/2,B,1,95,RUS,11
HOG,28/2,B,2,5,ACRU,4
HOG,28/2,B,2,5,DEPU,9
HOG,28/2,B,2,5,ARNU,1
HOG,28/2,B,2,5,UVSE,4
HOG,28/2,B,2,5,TRBO,1
HOG,28/2,B,2,5,MACA,2
HOG,28/2,B,2,5,RUS,4
HOG,28/2,B,2,5,BEAL,1
HOG,28/2,B,2,5,ACPE,2
HOG,28/2,B,2,15,ACRU,2
HOG,28/2,B,2,15,VIAC,1
HOG,28/2,B,2,15,RUS,3
HOG,28/2,B,2,15,POCO,20
HOG,28/2,B,2,15,MACA,2
HOG,28/2,B,2,15,OCAC,11
HOG,28/2,B,2,25,ACRU,1
HOG,28/2,B,2,25,RUS,4
HOG,28/2,B,2,25,BEAL,1
HOG,28/2,B,2,25,POCO,1
HOG,28/2,B,2,25,CAR,1
HOG,28/2,B,2,35,RUS,1
HOG,28/2,B,2,35,POCO,20
HOG,28/2,B,2,35,BEAL,6
HOG,28/2,B,2,35,OCAC,5
HOG,28/2,B,2,45,FAGR,1
HOG,28/2,B,2,45,RUS,2
HOG,28/2,B,2,45,BEAL,1
HOG,28/2,B,2,55,FAGR,2
HOG,28/2,B,2,65,RUS,13
HOG,28/2,B,2,65,BEAL,3
HOG,28/2,B,2,75,FAGR,5
HOG,28/2,B,2,75,POCO,20
HOG,28/2,B,2,85,ARNU,11
HOG,28/2,B,2,85,BEAL,1
HOG,28/2,B,2,95,RUS,4
HOG,28/2,B,2,95,FAGR,4
HOG,28/2,B,2,95,ARNU,3
HOG,28/2,B,3,5,OCAC,7
HOG,28/2,B,3,5,MACA,20
HOG,28/2,B,3,5,RUS,3
HOG,28/2,B,3,5,ARNU,2
HOG,28/2,B,3,5,UVSE,2
HOG,28/2,B,3,5,ACRU,1
HOG,28/2,B,3,15,RUS,20
HOG,28/2,B,3,15,BEAL,1
HOG,28/2,B,3,15,OCAC,20
HOG,28/2,B,3,25,RUS,20
HOG,28/2,B,3,25,POTR,1
HOG,28/2,B,3,25,ARNU,10
HOG,28/2,B,3,25,OCAC,20
HOG,28/2,B,3,25,ACRU,2
HOG,28/2,B,3,25,UVSE,4
HOG,28/2,B,3,35,RUS,20
HOG,28/2,B,3,35,ARNU,10
HOG,28/2,B,3,35,VIO,6
HOG,28/2,B,3,45,RUS,9
HOG,28/3,B,3,45,BEAL,1
HOG,28/4,B,3,45,TRBO,2
HOG,28/5,B,3,45,VIO,1
HOG,28/2,B,3,55,RUS,20
HOG,28/2,B,3,55,ACRU,1
HOG,28/2,B,3,55,BEAL,1
HOG,28/2,B,3,65,RUS,4
HOG,28/2,B,3,65,ACRU,4
HOG,28/2,B,3,65,VIO,2
HOG,28/2,B,3,65,POTR,1
HOG,28/2,B,3,65,BEAL,3
HOG,28/2,B,3,65,FRVI,20
HOG,28/2,B,3,65,ACPE,2
HOG,28/2,B,3,75,DIDI,20
HOG,28/2,B,3,75,ARNU,4
HOG,28/2,B,3,75,BEAL,7
HOG,28/2,B,3,75,PIST,1
HOG,28/2,B,3,75,RUS,4
HOG,28/2,B,3,85,FAGR,3
HOG,28/2,B,3,85,RUS,7
HOG,28/2,B,3,95,BEAL,4
HOG,28/2,B,3,95,PONO,20
HOG,28/2,B,3,95,CAR,3
HOG,28/2,B,3,95,ACRU,1
HOG,12/2,C,1,5,ACRU,2
HOG,12/2,C,1,5,BEAL,1
HOG,12/2,C,1,15,ACRU,12
HOG,12/2,C,1,15,MACA,11
HOG,12/2,C,1,15,BEAL,8
HOG,12/2,C,1,15,FAGR,1
HOG,12/2,C,1,15,TRBO,1
HOG,12/2,C,1,25,MIRE,8
HOG,12/2,C,1,25,BEAL,2
HOG,12/2,C,1,25,ACRU,5
HOG,12/2,C,1,25,ARNU,5
HOG,12/2,C,1,25,TRBO,9
HOG,12/2,C,1,25,FAGR,1
HOG,12/2,C,1,25,RUS,1
HOG,12/2,C,1,35,TRBO,1
HOG,12/2,C,1,35,MACA,8
HOG,12/2,C,1,35,ACRU,2
HOG,12/2,C,1,35,MIRE,4
HOG,12/2,C,1,35,FAGR,3
HOG,12/2,C,1,45,TRBO,11
HOG,12/2,C,1,45,MACA,14
HOG,12/2,C,1,45,BEAL,5
HOG,12/2,C,1,45,FAGR,1
HOG,12/2,C,1,45,ACRU,7
HOG,12/2,C,1,45,MIRE,3
HOG,12/2,C,1,45,UNK,1
HOG,12/2,C,1,45,UVSE,5
HOG,12/2,C,2,5,BEPA,1
HOG,12/2,C,2,5,BEAL,2
HOG,12/2,C,2,5,RUS,2
HOG,12/2,C,2,5,ACRU,1
HOG,12/2,C,2,5,CAR,1
HOG,12/2,C,2,5,MACA,2
HOG,12/2,C,2,5,VIAC,1
HOG,12/2,C,2,5,TRBO,2
HOG,12/2,C,2,15,ACRU,1
HOG,12/2,C,2,15,FAGR,3
HOG,12/2,C,2,25,ACRU,3
HOG,12/2,C,2,35,ACPE,1
HOG,12/2,C,2,35,BEAL,1
HOG,12/2,C,2,35,TRBO,2
HOG,12/2,C,2,45,FAGR,2
HOG,12/2,C,4,5,FAGR,4
HOG,12/2,C,4,15,FAGR,2
HOG,12/2,C,4,25,FAGR,5
HOG,12/2,C,4,25,BEAL,2
HOG,12/2,C,4,25,RUS,3
HOG,12/2,C,4,35,TRBO,2
HOG,12/2,C,4,35,ACRU,6
HOG,12/2,C,4,35,FAGR,1
HOG,12/2,C,4,35,BEAL,1
HOG,12/2,C,4,45,BEAL,1
HOG,12/2,C,4,45,ACRU,4
HOG,12/2,C,4,45,FAGR,1
HOG,12/2,C,3,5,FRAM,1
HOG,12/2,C,3,5,ACRU,9
HOG,12/2,C,3,5,FAGR,1
HOG,12/2,C,3,5,VILA,5
HOG,12/2,C,3,5,RUS,3
HOG,12/2,C,3,5,BEAL,1
HOG,12/2,C,3,15,RUS,20
HOG,12/2,C,3,25,ACRU,1
HOG,12/2,C,3,25,PIST,1
HOG,12/2,C,3,25,RUS,4
HOG,12/2,C,3,35,RUS,8
HOG,12/2,C,3,35,BEAL,1
HOG,12/2,C,3,45,RUS,8
HOG,12/2,C,3,45,ACRU,1
HOG,12/2,C,4,55,FAGR,1
HOG,12/2,C,4,55,RUS,1
HOG,12/2,C,4,75,ACRU,1
HOG,12/2,C,4,85,BEAL,1
HOG,12/2,C,4,95,BEAL,3
HOG,12/2,C,4,95,FAGR,1
HOG,12/2,C,4,95,ACRU,1
HOG,12/2,C,5,5,ACRU,3
HOG,12/2,C,5,5,RUS,3
HOG,12/2,C,5,5,FAGR,2
HOG,12/2,C,5,15,FAGR,7
HOG,12/2,C,5,15,BEAL,2
HOG,12/2,C,5,15,ACRU,2
HOG,12/2,C,5,25,ACRU,7
HOG,12/2,C,5,25,ACPE,1
HOG,12/2,C,5,25,FAGR,1
HOG,12/2,C,5,25,RUS,4
HOG,12/2,C,5,35,ACRU,2
HOG,12/2,C,5,35,FAGR,1
HOG,12/2,C,5,45,ACRU,1
HOG,12/2,C,5,45,OSVI,1
HOG,12/2,C,5,55,ACSA,3
HOG,12/2,C,5,55,ACRU,4
HOG,12/2,C,5,65,BEAL,4
HOG,12/2,C,5,65,RUS,2
HOG,12/2,C,5,75,FAGR,2
HOG,12/2,C,5,75,ACSA,2
HOG,12/2,C,5,75,ACRU,1
